0.2 0
0.2 1
0.4001 1
0.4001 2
0.5334 2
0.5334 1
0.6002 1
0.6002 2
0.7335 2
0.7335 1
0.8003 1
0.8003 2
0.9336 2
0.9336 1
1.0004 1
1.0004 2
1.1337 2
1.1337 1
1.2005 1
1.2005 2
1.3338 2
1.3338 1
1.4006 1
1.4006 2
1.5339 2
1.5339 1
1.6007 1
1.6007 2
1.734 2
1.734 1
1.8008 1
1.8008 2
1.9341 2
1.9341 1
2.0009 1
2.0009 2
2.1342 2
2.1342 1
2.201 1
2.201 2
2.3343 2
2.3343 1
2.4011 1
2.4011 2
2.5344 2
2.5344 1
2.6012 1
2.6012 2
2.7345 2
2.7345 1
2.8013 1
2.8013 2
2.9346 2
2.9346 1
3.0014 1
3.0014 2
3.1347 2
3.1347 1
3.2015 1
3.2015 2
3.3348 2
3.3348 1
3.4016 1
3.4016 2
3.5349 2
3.5349 1
3.6017 1
3.6017 2
3.735 2
3.735 1
3.8018 1
3.8018 2
3.9351 2
3.9351 1
4.0019 1
4.0019 2
4.1352 2
4.1352 1
4.202 1
4.202 2
4.3353 2
4.3353 1
4.4021 1
4.4021 2
4.5354 2
4.5354 1
4.6022 1
4.6022 2
4.7355 2
4.7355 1
4.8023 1
4.8023 2
4.9356 2
4.9356 1
5.1357 1
5.1357 0
