0.2 1
0.2 0
0.4001 0
0.4001 1
0.4001 1
0.4001 0
0.6002 0
0.6002 1
0.6002 1
0.6002 0
0.8003 0
0.8003 1
0.8003 1
0.8003 0
1.0004 0
1.0004 1
1.0004 1
1.0004 0
1.2005 0
1.2005 1
1.2005 1
1.2005 0
1.4006 0
1.4006 1
1.4006 1
1.4006 0
1.6007 0
1.6007 1
1.6007 1
1.6007 0
1.8008 0
1.8008 1
1.8008 1
1.8008 0
2.0009 0
2.0009 1
2.0009 1
2.0009 0
2.201 0
2.201 1
2.201 1
2.201 0
2.4011 0
2.4011 1
2.4011 1
2.4011 0
2.6012 0
2.6012 1
2.6012 1
2.6012 0
2.8013 0
2.8013 1
2.8013 1
2.8013 0
3.0014 0
3.0014 1
3.0014 1
3.0014 0
3.2015 0
3.2015 1
3.2015 1
3.2015 0
3.4016 0
3.4016 1
3.4016 1
3.4016 0
3.6017 0
3.6017 1
3.6017 1
3.6017 0
3.8018 0
3.8018 1
3.8018 1
3.8018 0
4.0019 0
4.0019 1
4.0019 1
4.0019 0
4.202 0
4.202 1
4.202 1
4.202 0
4.4021 0
4.4021 1
4.4021 1
4.4021 0
4.6022 0
4.6022 1
4.6022 1
4.6022 0
4.8023 0
4.8023 1
4.8023 1
4.8023 0
